Priceperweek,Population,Monthlyincome,Averageparkingpermonth,Numberofweeklyriders
39,1766010,6146,126,153753
50,1744112,6727,70,134982
15,1790603,5800,50,177630
79,1723333,11992,173,115696
56,1737031,8362,113,126374
25,1778376,5800,77,156421
72,1733878,10089,146,119167
75,1735661,10832,164,120706
45,1757661,6857,53,148714
15,1782872,5800,50,178197
40,1755780,5800,69,145877
48,1760787,6027,102,141587
49,1742751,7787,83,138761
71,1722969,9986,139,125345
50,1744399,8255,106,131590
25,1773546,5800,62,161203
67,1733391,10417,137,129983
29,1776975,6081,64,162564
52,1750598,6864,119,138871
47,1754408,7458,108,150760
23,1765826,5800,65,166664
38,1758232,7179,82,150241
44,1751311,6198,84,156779
53,1740504,6192,91,141828
51,1756616,7735,131,138964
58,1747248,7935,105,137016
15,1785237,5800,50,175072
47,1746023,6364,85,135760
46,1755424,6245,97,141741
26,1768835,5800,67,161522
35,1767898,5800,92,149627
53,1743554,6572,101,143976
65,1732397,8587,80,129717
99,1701698,14253,173,115696
43,1755516,7307,100,151415
38,1755814,5800,75,150723
42,1761657,6515,99,140136
52,1741238,7966,111,145185
74,1724890,13186,130,123230
24,1781713,5800,58,175318
33,1775500,5800,74,160683
84,1713998,12703,157,115696
15,1786530,5800,50,182591
52,1749651,9666,61,145554
62,1730590,8428,129,125912
68,1733564,9379,115,118564
77,1722092,13078,149,116148
58,1741577,8231,103,134785
50,1751248,8185,63,138490
41,1757541,7275,105,153879
40,1749195,5800,83,156003
27,1777434,5800,50,166424
57,1739844,6192,80,130582
15,1781503,5800,50,173758
43,1751237,5800,59,145690
50,1751310,7044,126,139793
38,1765541,6092,101,158408
31,1772479,5800,65,167964
56,1750750,10564,122,141732
85,1720835,13895,162,115696
52,1750736,7400,143,137033
62,1743405,9981,176,134625
92,1708607,13404,144,115696
52,1744100,6748,148,134617
38,1743430,5800,65,157698
33,1773009,5800,52,165465
48,1748364,7138,124,145668
84,1723083,11420,166,115696
49,1748842,5993,110,140565
59,1735313,9718,98,129232
69,1722937,8844,120,122510
32,1769272,5800,75,156456
47,1754791,6264,64,140885
65,1734291,8912,156,133497
15,1792756,5800,50,170191
53,1744680,8002,125,132749
17,1786601,5800,62,172235
73,1727784,11799,138,121702
39,1765033,6115,84,165009
56,1749049,8841,93,140480
24,1770998,5800,50,171188
46,1759560,8084,118,145069
53,1745568,10321,88,141806
40,1762183,6288,122,144460
43,1751823,7851,109,146729
73,1734939,11336,171,118884
56,1738582,8897,93,144383
73,1735592,11541,164,122439
38,1766877,7088,59,159586
41,1763352,6864,85,148470
69,1726533,11101,166,118207
25,1776680,5800,50,169268
22,1776703,5800,50,170467
74,1734963,10589,187,129779
31,1768300,5800,78,162108
47,1758160,6420,61,132970
25,1776512,5800,50,164293
71,1724653,10493,137,122508
41,1761060,6067,51,145487
80,1709692,10571,135,115696
75,1734853,12730,155,115696
50,1747723,5803,79,145941
17,1779317,5800,73,170878
82,1716901,11826,155,115696
69,1733546,11123,131,128007
42,1755135,6559,70,152442
64,1742907,10526,132,126889
59,1742503,10010,73,135827
48,1758668,7548,118,153572
24,1778374,5800,51,179679
42,1746003,6062,66,149574
53,1752160,6732,122,138026
66,1722121,8227,122,124250
50,1757291,7342,65,149446
54,1755695,7824,118,139598
69,1728935,10094,148,124844
37,1766174,6283,114,164354
42,1750686,6907,88,143834
48,1756128,6875,116,141326
34,1772970,6711,83,163203
75,1724151,11154,157,115696
15,1787775,5800,50,174042
74,1730406,10733,147,115696
45,1753944,7199,120,149138
59,1740953,9114,117,128742
92,1712615,14504,200,115696
65,1735444,10702,106,130202
26,1777463,5800,50,173484
72,1729661,10203,144,117717
66,1732887,10927,151,119366
38,1768913,5800,74,160372
49,1748373,7488,133,148774
63,1739511,8655,137,132817
53,1747754,7501,107,148440
69,1736893,10619,121,126415
53,1743019,7343,83,136645
76,1724439,12700,129,115696
25,1775923,5800,59,177891
27,1776581,5800,55,171602
47,1753587,6635,103,138833
55,1754367,7496,109,136930
27,1770594,5800,75,173682
58,1740872,9089,147,134170
48,1754519,5800,102,142924
85,1716162,11619,157,115696
63,1733753,9640,149,132519
44,1752760,6717,129,147348
56,1748712,8014,84,135850
61,1741199,8517,124,128467
60,1731983,8551,121,135203
69,1715639,10378,114,117756
39,1768160,5800,89,151463
60,1746570,9279,126,128079
51,1748235,8045,110,143788
57,1735291,7951,107,138110
62,1738954,10289,123,126196
67,1735501,7395,149,126180
22,1784369,5800,66,172906
21,1779997,5800,50,171277
70,1733380,11374,130,120161
63,1733479,10330,129,134180
39,1759107,5800,92,148305
91,1715953,13654,200,115696
68,1731005,10334,105,127693
42,1758908,6688,78,156915
59,1742495,9111,83,127527
31,1772543,5800,60,162843
32,1763960,5800,57,152950
45,1744482,7555,83,140686
51,1751792,8202,97,148440
65,1729872,9730,123,131287
33,1753096,5800,62,157940
68,1719744,11445,136,124078
27,1772535,5800,57,161206
31,1774986,5963,68,164387
58,1743331,9338,86,137794
50,1743124,7711,80,143034
15,1782405,5800,50,174474
54,1754065,7577,92,137166
27,1776565,5800,50,164652
71,1736003,12126,132,117735
46,1750249,8385,86,140822
70,1731928,10444,118,125170
32,1773989,5801,50,160371
20,1783194,5800,50,168784
66,1739308,10886,126,120986
35,1762713,6874,50,152004
53,1745502,7764,136,134218
30,1776142,5800,50,159970
15,1779716,5800,50,175769
22,1767486,5800,50,176686
56,1747840,8209,118,125789
15,1789898,5800,50,177051
31,1768208,5800,50,152085
85,1708773,10235,182,115696
65,1736911,10802,149,124028
78,1723733,12779,148,119487
17,1780908,5800,50,177997
65,1726452,8240,92,125644
67,1740819,9417,142,123801
39,1760165,5800,69,144391
42,1757639,5800,82,156277
63,1738731,9210,109,139528
15,1796593,5800,50,178975
15,1782023,5800,54,176852
60,1743452,6753,95,140956
62,1729929,9433,162,136226
43,1747009,5800,78,154452
60,1743443,9033,127,129096
36,1759228,6648,80,152315
58,1749598,6911,127,139442
15,1791728,5800,50,185023
15,1787671,5800,50,169234
53,1746560,6919,91,137774
90,1710051,13621,184,115696
29,1771447,5800,79,167272
69,1734538,9804,119,122269
58,1743593,9607,123,145647
53,1748551,8105,136,134618
33,1759082,5800,77,160576
62,1737414,8939,128,133434
98,1701944,13973,178,115696
58,1733405,9011,73,142741
49,1737278,7074,105,145708
36,1758565,5800,84,157657
65,1737704,11294,102,121377
41,1758096,5800,94,147387
66,1729839,11657,146,132385
36,1761100,5800,60,161324
38,1767625,5800,55,159241
28,1773352,5800,50,162480
82,1720885,12534,144,115696
18,1780617,5800,50,187420
62,1739792,9243,163,133233
71,1732462,10836,150,117245
81,1721679,12968,177,115696
41,1757024,6753,91,147282
72,1727221,10766,154,115696
65,1736063,11165,150,121768
51,1741145,8422,81,148341
55,1755719,8673,125,141231
87,1718074,11602,167,115696
75,1722657,12057,159,126530
62,1740394,10426,142,135636
98,1701161,13314,200,115696
34,1759860,5800,65,161163
31,1763153,5800,50,160983
53,1747508,6837,98,140759
25,1771814,5800,70,162520
54,1748748,6592,106,133508
15,1784252,5800,50,181333
44,1751011,6120,93,154139
79,1712219,12189,131,116945
56,1746912,7393,126,136788
44,1756051,5932,78,148238
41,1759536,7841,57,153025
38,1761682,7811,92,154417
39,1760566,7627,78,153919
39,1756435,5800,118,151574
58,1741272,8907,122,143441
42,1768472,5800,81,148853
15,1778393,5800,50,184271
59,1741604,8757,145,133139
15,1785589,5800,50,173879
50,1754441,6373,78,142630
84,1709975,12400,200,115696
50,1750818,8465,101,144155
20,1772966,5800,50,166811
60,1736646,8308,123,126774
72,1727551,12425,129,118431
75,1722195,12765,110,115696
58,1742640,9112,107,127899
59,1733554,8912,156,128740
90,1714637,12153,200,115696
60,1741730,10783,104,131030
60,1740613,8520,98,128115
44,1757580,8029,75,146554
25,1772499,5800,88,163053
59,1736662,7376,154,135355
29,1774865,5800,72,163926
88,1711511,11376,137,115696
64,1737468,9512,152,123133
24,1778495,5800,50,163851
48,1753983,6459,84,136793
45,1760419,7968,71,141327
46,1759231,7004,89,143146
30,1768969,5800,71,153750
63,1736147,11089,96,129948
60,1744565,9859,95,140208
16,1783818,5800,54,173092
34,1760566,6209,67,148913
45,1751442,5800,62,140204
48,1755284,6575,106,146185
49,1751624,6842,100,141500
46,1762317,8137,101,141254
81,1720532,11911,151,115696
41,1760100,5800,74,148625
44,1753379,6205,106,156087
49,1755757,6762,93,146704
36,1763516,5800,62,154863
56,1749700,10000,79,140218
40,1763025,5800,66,144565
55,1745376,8196,115,130548
78,1718439,12765,189,115696
61,1732917,10678,107,126342
66,1728901,8947,150,122008
45,1760371,7626,62,156475
49,1757195,6216,142,129592
72,1728742,9122,144,125885
43,1758205,8588,81,152903
17,1775438,5800,50,178280
90,1698314,12329,187,115696
21,1771173,5800,50,165525
66,1738031,11259,140,124041
63,1729578,10779,97,134915
67,1727096,9287,145,125524
54,1752961,7666,150,137715
63,1739320,9619,126,138496
79,1716476,11358,173,123442
78,1718536,11212,184,122576
53,1744090,6232,135,146340
34,1781404,5826,78,162745
67,1736228,10017,152,118327
36,1758434,5800,66,161608
47,1745106,7573,92,135924
55,1752782,9433,101,129543
62,1731280,10757,94,128801
29,1776091,5800,50,166460
38,1762567,5800,59,158655
83,1721908,11605,156,115696
44,1754233,6628,74,147581
15,1777093,5800,54,173806
61,1727176,8447,116,134511
60,1730184,9055,101,131043
26,1778026,5800,53,166559
72,1716054,10043,143,115696
49,1751305,8698,129,150918
62,1739983,8460,111,131176
55,1746720,8252,136,141323
21,1783451,5800,50,182341
53,1756470,9112,121,141477
64,1733774,10398,142,130136
29,1774249,5800,57,160505
37,1762893,5800,53,158886
48,1751502,7792,116,144407
75,1728365,9415,157,123328
70,1723577,10180,148,118497
28,1769372,5800,86,156432
29,1773066,5800,105,161946
38,1762855,5800,99,153930
38,1765421,5800,89,153942
16,1786576,5800,50,185134
15,1781782,5800,50,166089
41,1765950,6599,52,148478
56,1739839,8677,92,136493
42,1763039,5800,122,155122
67,1728894,10700,159,127576
25,1774501,5800,56,162776
50,1747133,6550,65,149809
56,1743945,9315,100,133070
58,1737156,10063,94,133220
42,1754559,5800,58,154699
21,1785224,5800,50,171015
41,1755293,5800,80,153642
22,1773581,5800,50,171238
37,1763642,5810,69,163233
34,1760937,5800,57,154889
58,1741072,7288,80,136411
40,1764712,5800,60,159979
74,1715424,10855,132,117445
65,1731794,8748,159,126859
35,1772829,5800,64,162080
51,1749957,8583,110,141167
57,1744834,10433,66,138764
40,1756369,5872,62,142878
44,1746167,7550,58,142975
27,1777417,6812,50,165969
26,1771016,5800,68,164268
28,1768153,5800,50,160469
73,1724704,10325,114,120889
87,1711262,14197,140,115696
50,1742241,7797,76,140384
77,1726613,11810,156,121361
62,1738406,8875,90,129694
42,1752441,6107,75,148268
50,1756681,9233,125,143652
15,1781664,5800,50,174473
18,1776875,5800,67,171666
26,1768196,5800,50,160818
21,1770990,5800,50,166915
42,1753903,6304,86,149102
29,1774421,5800,61,166235
24,1776664,5800,50,165080
54,1746000,9053,142,139778
36,1759770,6885,50,159767
47,1751669,6379,85,147510
55,1750392,8476,130,132351
59,1739683,9964,91,130883
28,1764342,5800,52,166282
28,1778198,5800,69,174888
39,1768228,6197,50,161325
69,1722540,11752,151,115814
72,1730137,10914,155,115696
56,1740571,7740,96,132178
55,1738308,6190,126,131809
101,1691750,15629,200,115696
42,1756898,6380,83,146249
44,1751188,6689,121,153383
32,1765519,5800,76,151071
83,1707686,13680,117,115696
30,1770303,5800,72,154748
62,1737916,9074,154,132269
72,1718030,11701,147,116827
68,1735340,7754,124,122277
43,1764934,5800,74,147194
88,1707354,13948,200,115696
69,1726247,11336,113,123722
37,1760156,5800,87,160456
45,1753854,5800,69,144510
33,1764867,6406,60,165393
53,1750195,7698,124,147857
48,1754402,8907,86,151737
32,1769681,5800,71,168167
56,1738063,8554,131,126062
55,1742102,8086,126,126785
58,1741539,8995,120,134775
50,1749417,6274,94,143446
64,1737363,10827,118,138782
58,1732235,7737,155,136366
67,1722487,11738,113,120082
15,1778048,5800,50,181697
42,1757947,6795,50,155575
40,1755557,5800,64,152165
31,1771977,5800,104,163946
33,1760897,5800,52,161060
28,1771661,5800,61,160620
53,1755455,8320,123,143499
65,1738615,8775,107,130904
41,1761013,6788,113,147123
68,1724961,10140,129,127864
55,1742203,8131,97,143218
81,1718989,12399,192,115696
61,1740049,8298,115,126092
26,1783363,5800,59,166329
66,1739327,9963,123,129377
27,1773082,5800,82,171815
83,1709761,12083,172,118405
32,1759374,5800,50,159777
86,1710525,12167,182,115696
44,1753013,6197,74,151332
35,1760746,6161,94,165880
44,1753379,6976,84,156446
89,1712035,12908,181,115696
46,1755326,7281,99,145270
30,1775059,5800,68,163808
62,1736816,8263,115,137429
34,1762581,5800,56,160985
58,1743484,8311,164,128994
15,1786777,5800,50,181897
22,1780022,5800,87,176223
61,1742087,10593,74,132867
90,1711667,14131,183,115696
87,1708823,13155,172,115696
82,1719258,13009,125,115696
58,1742681,10067,119,145565
83,1721684,11303,164,115696
56,1741943,7688,94,135247
44,1754155,6253,53,149885
73,1718268,11245,98,115696
70,1729865,10630,166,121721
81,1723168,12103,132,115696
46,1755381,7028,133,141451
15,1783921,5800,50,181076
44,1754687,6116,66,145654
15,1795916,5800,50,176727
45,1754237,8336,89,144515
58,1737899,9110,117,136703
45,1759217,6583,86,150586
74,1717987,10845,118,116551
35,1759840,6125,76,161284
45,1766705,6638,95,149254
35,1761261,5800,108,155472
26,1771391,5800,50,159632
42,1752302,5800,83,149171
17,1788890,5800,61,171994
17,1779643,5800,50,175465
42,1759935,5800,70,137721
57,1744673,6741,117,130240
56,1742550,8190,112,134447
67,1734470,9458,146,123629
36,1761079,5800,112,163085
59,1738473,8035,160,138222
15,1795202,5800,50,176385
83,1714032,12369,180,115696
69,1728331,8658,143,123103
46,1759683,7641,107,141753
69,1727254,11860,123,126409
79,1711135,11735,167,115696
17,1783429,5800,71,165795
69,1730181,9665,170,133474
48,1750449,7124,106,141060
37,1753430,5800,86,147163
62,1737668,10309,117,136165
45,1757127,6185,65,145130
78,1723324,11644,176,115696
46,1755757,7966,124,141878
24,1772166,5800,66,166557
39,1765370,5800,92,154179
23,1771660,5800,80,172136
40,1770815,7891,135,151936
67,1732666,11485,139,118340
43,1756912,5800,128,146081
93,1704677,13609,181,115696
89,1717856,12104,161,115696
30,1766181,5800,68,159013
70,1734904,10019,90,127822
89,1714709,12696,188,115696
34,1767216,5800,70,164514
46,1747546,6522,75,147241
31,1770297,6481,84,161041
34,1758972,5809,58,154409
84,1711781,13703,155,115696
46,1757948,5800,50,142441
29,1778254,6506,50,161418
15,1779651,5800,50,178374
62,1735400,10726,95,131046
60,1744371,9246,111,135504
15,1795149,5800,50,181285
63,1736216,8068,127,125958
62,1734777,8570,112,133157
65,1729746,9288,121,128308
31,1763367,5800,94,168248
47,1755301,7882,89,148316
84,1720029,12959,193,115696
28,1776239,5800,87,162148
26,1755817,5800,66,158581
47,1750911,5800,81,149467
66,1728405,10516,125,130464
23,1772729,5800,50,167914
26,1776416,5800,50,160868
68,1725185,9775,117,115696
63,1737550,8065,104,130919
22,1776429,5800,51,165423
71,1724735,9071,152,119256
51,1750075,7723,100,140472
55,1742831,6098,150,135379
51,1758162,7620,113,136670
59,1741780,7103,87,125433
48,1750378,7624,83,147794
56,1735643,8017,166,139671
26,1779475,5800,50,165348
60,1732303,8434,139,132847
54,1743083,8563,112,134160
46,1753333,8875,85,145954
28,1783793,5800,50,175903
66,1731146,9210,125,126902
29,1764573,7122,50,157084
59,1749527,8553,134,139796
78,1722802,11735,153,118154
32,1776195,5800,55,161956
43,1757364,6740,58,149661
77,1731358,13476,153,115696
30,1769568,5800,50,154150
57,1741495,7997,143,130171
87,1705852,12325,137,115696
56,1744567,8575,136,134255
66,1732101,10948,135,122963
58,1731023,8238,109,137963
35,1780175,5800,58,160251
30,1773143,5800,68,152182
33,1764525,5800,51,157025
53,1746160,7282,84,137637
45,1758251,8624,128,150054
63,1735532,9883,146,122395
57,1734718,9643,121,140247
38,1760407,6689,92,151786
61,1741624,8831,120,131087
36,1767262,6715,77,157739
54,1745864,8889,130,135063
32,1766740,5800,50,161656
68,1734770,10485,151,130331
63,1747887,9480,124,127830
47,1750707,7948,70,142535
15,1783829,5800,50,174886
59,1744907,9096,115,134560
22,1783118,5800,66,163609
45,1759103,6059,100,150286
63,1728022,7831,144,122902
25,1770712,5800,50,168933
25,1784109,5800,77,160773
15,1782757,5800,50,175548
67,1739440,9533,102,129325
25,1773872,5800,51,171943
41,1758977,7095,111,148640
48,1760627,7148,94,137128
72,1734755,10493,168,124299
43,1755153,6972,74,144361
39,1757635,5800,51,158567
42,1765217,5800,93,154614
79,1719764,14876,181,115696
50,1752479,6038,112,139017
34,1759031,6396,58,154292
70,1728680,11248,131,123990
68,1730165,10157,161,119016
76,1724298,11810,128,118998
30,1764105,5800,50,156848
37,1764930,7129,112,160400
50,1756812,8016,99,144462
45,1757970,7057,94,147568
26,1775251,5800,50,156985
33,1768933,5877,57,164042
46,1754521,5867,103,146637
50,1755976,8593,88,145373
59,1736175,7460,113,141976
49,1750549,7910,93,142956
97,1704017,13831,200,115696
57,1742359,7802,81,142561
35,1752570,5800,52,166203
55,1738388,9355,88,141370
85,1713263,12841,147,115696
79,1716211,13444,157,115696
34,1756358,5800,67,160965
85,1712741,14290,169,115696
32,1761457,5800,60,150489
38,1761281,5800,76,148616
71,1726572,8796,162,115785
56,1749238,7612,96,134891
65,1731124,8848,161,119862
48,1757414,8805,90,139164
58,1751879,8694,100,129054
44,1753565,8628,112,154266
64,1737129,9718,148,121403
64,1738167,8110,99,123636
16,1772451,5800,50,173024
59,1750506,8904,135,129400
40,1763562,5800,95,143124
48,1750460,7424,126,146952
42,1763551,7411,64,147347
76,1722885,9663,145,115696
66,1737212,10068,162,122155
68,1735694,11311,148,127534
19,1786044,5800,58,165918
57,1755752,9802,102,129018
70,1736393,8416,96,124408
40,1764230,6548,99,152498
93,1703221,15007,172,115696
61,1736187,9285,146,131950
65,1736274,8814,131,135097
57,1737423,8412,111,134068
67,1736599,11687,129,120868
40,1766777,5800,64,144082
57,1738344,8589,73,141648
97,1695394,15631,180,115696
74,1725561,12688,139,115696
46,1745778,6948,64,146703
35,1762386,5800,64,157872
61,1740713,10470,121,118521
49,1743893,7314,79,146178
77,1712493,12691,142,115696
60,1746419,8353,97,136831
68,1728628,8158,103,124607
52,1748548,8251,102,141831
60,1750334,8527,122,133895
100,1701229,14092,200,115696
72,1728897,11495,134,116734
33,1770588,5800,56,158903
20,1768933,5800,76,171904
57,1750792,8960,131,134380
36,1766322,5800,50,155619
24,1778676,5800,56,162033
89,1715228,13496,126,115696
69,1723604,10492,122,127074
27,1778286,5800,50,159448
58,1738363,9196,130,134827
47,1743876,7253,82,147017
33,1770923,5800,53,154688
26,1772760,5800,54,165016
78,1732516,9336,152,117178
40,1755195,5800,75,143039
28,1770812,5800,50,163410
27,1781634,5800,50,162487
87,1706591,13574,200,115696
51,1744167,7900,78,145337
62,1742351,9673,117,127496
60,1744069,7471,128,128454
60,1742058,7845,93,138729
69,1736427,10995,124,118446
46,1753298,6216,115,144837
62,1741169,8792,140,134880
63,1735063,10726,146,126207
15,1782809,5800,52,172071
67,1725526,10919,133,121617
51,1745085,8114,112,145723
45,1747771,6337,92,149705
47,1752525,6075,63,142066
42,1768993,6660,63,152077
82,1708337,11449,154,115696
15,1789922,5800,50,179968
15,1782044,5800,50,182915
49,1752043,7083,106,149126
37,1757408,5800,77,156483
31,1761719,5800,59,155735
41,1761714,7369,78,155491
75,1729635,10640,135,115696
